ccode,abbreviation,period,styear,endyear,democracy,duration,war_years,cinc,tpop,dummy_EU,dummy_GATT,dummy_WTO,dummy_NATO,dummy_OECD,religion_max,religion_pop,gdpPercap
327,NA,PAPAL STATES 1815-NA,1815,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,SICILY 1816-NA,1816,NA,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,SMR,SAN MARINO 1800-1944,1800,1944,0,145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,SMR,SAN MARINO 1945-2010,1945,2010,1,66,0,2.04E-06,31,0,0,0,0,0,NA,NA,71156.09799
332,NA,MODENA 1815-NA,1815,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,PARMA 1815-NA,1815,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,TUSCANY 1815-1860,1815,1860,0,46,1,0.003683533054,1815,0,0,0,0,0,NA,NA,NA
338,MLT,MALTA 1964-2010,1964,2010,1,47,0,3.50E-05,425,1,0,1,0,0,chrstgen,0.9727,32916.68381
339,ALB,ALBANIA 1914-1991,1914,1991,0,78,0,4.53E-04,3255,0,0,0,0,0,islmgen,0.42,3497.005391
339,ALB,ALBANIA 1914-1991,1914,1991,0,78,0,4.53E-04,3255,0,0,0,0,0,islmothr,0.42,3497.005391
339,ALB,ALBANIA 1992-1995,1992,1995,1,4,0,5.56E-04,3609,0,0,0,0,0,islmgen,0.54,4472.4148
339,ALB,ALBANIA 1992-1995,1992,1995,1,4,0,5.56E-04,3609,0,0,0,0,0,islmothr,0.54,4472.4148
339,ALB,ALBANIA 1992-1995,1992,1995,1,4,0,5.56E-04,3609,0,0,0,0,0,islmgen,0.54,4472.4148
339,ALB,ALBANIA 1992-1995,1992,1995,1,4,0,5.56E-04,3609,0,0,0,0,0,islmothr,0.54,4472.4148
339,ALB,ALBANIA 1996-1997,1996,1997,0,1,0,5.68E-04,3731,0,0,0,0,0,islmgen,0.54,4401.112889
339,ALB,ALBANIA 1996-1997,1996,1997,0,1,0,5.68E-04,3731,0,0,0,0,0,islmothr,0.54,4401.112889
339,ALB,ALBANIA 1997-2010,1997,2010,1,14,0,2.96E-04,3150,0,0,1,1,0,islmgen,0.63,10751.42106
341,NA,ALBANIA 1997-2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,SERBIA 1878-1920,1878,1920,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,SERBIA 2006-2010,2006,2010,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,MKD,MACEDONIA 1991-2010,1991,2010,1,20,0,2.51E-04,2102,0,0,0,0,0,NA,NA,13517.42821
344,HRV,CROATIA 1991-1999,1991,1999,0,9,1,9.99E-04,4477,0,0,0,0,0,NA,NA,17681.54664
344,HRV,CROATIA 2000-2010,2000,2010,1,11,0,5.61E-04,4338,0,0,1,1,0,NA,NA,24590.52099
345,SER,YUGOSLAVIA 1921-1928,1921,1928,1,8,0,0.006905949675,13378,0,0,0,0,0,NA,NA,NA
345,SER,YUGOSLAVIA 1929-1991,1929,1991,0,63,1,0.004069740884,23931,0,1,0,0,0,NA,NA,NA
346,BIH,BOSNIA 1992-2010,1992,2010,1,19,1,3.81E-04,3846,0,0,0,0,0,NA,NA,10637.08634
347,YUG,"YUGOSLAVIA, FED. REP. 1991-1999",1991,1999,0,9,0,NA,NA,NA,NA,NA,NA,NA,chrstgen,0.7476,NA
347,YUG,"YUGOSLAVIA, FED. REP. 2000-NA",2000,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,MONTENEGRO 2006-2010,2006,2010,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,SVN,SLOVENIA 1991-2010,1991,2010,1,20,0,3.06E-04,2054,1,0,1,1,1,NA,NA,33350.61359
350,GRC,GREECE 1827-1863,1827,1863,0,37,0,8.57E-04,1131,0,0,0,0,0,NA,NA,NA
350,GRC,GREECE 1864-1914,1864,1914,1,51,4,0.002213021507,4604,0,0,0,0,0,NA,NA,NA
350,GRC,GREECE 1915-1925,1915,1925,0,11,6,0.004608998075,5957,0,0,0,0,0,NA,NA,NA
350,GRC,GREECE 1926-1935,1926,1935,1,10,0,0.003102957737,6836,0,0,0,0,0,NA,NA,NA
350,GRC,GREECE 1936-1943,1936,1943,0,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,GRC,GREECE 1944-1966,1944,1966,1,23,3,0.002563587623,8614,0,1,0,1,1,chrstgen,0.9844,24262.84258
350,GRC,GREECE 1967-1973,1967,1973,0,7,0,0.003006592393,8929,0,1,0,1,1,chrstgen,0.9836,24262.84258
350,GRC,GREECE 1974-2010,1974,2010,1,37,0,0.003488064511,11110,1,0,1,1,1,chrstgen,0.9438,33693.21148
352,CYP,CYPRUS 1960-1975,1960,1975,0,16,1,2.02E-04,610,0,1,0,0,0,chrstgen,0.7723,25237.11523
352,CYP,CYPRUS 1976-2010,1976,2010,1,35,0,1.68E-04,1104,1,0,1,0,0,chrstgen,0.7453,38405.41016
355,BGR,BULGARIA 1879-1989,1879,1989,0,111,12,0.003371007508,8989,0,0,0,0,0,NA,NA,12509.96194
355,BGR,BULGARIA 1990-2010,1990,2010,1,21,0,0.001064671203,7389,1,0,1,1,0,NA,NA,18163.87274
359,MDA,MOLDOVA 1991-2010,1991,2010,1,20,0,2.39E-04,3573,0,0,1,0,0,NA,NA,8547.580779
360,ROM,ROMANIA 1859-1990,1859,1990,0,132,8,0.006093205884,23207,0,1,0,0,0,chrstgen,0.9127,NA
360,ROM,ROMANIA 1991-2010,1991,2010,1,20,0,0.002515463624,21861,1,0,1,1,0,chrstgen,0.9751,NA
364,SVU,USSR 1922-NA,1922,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,RUS,RUSSIA 1800-1921,1800,1921,0,122,24,0.148514092,136876,0,0,0,0,0,NA,NA,NA
365,RUS,RUSSIA 1992-1998,1992,1998,1,7,0,0.05129859224,147434,0,0,0,0,0,nonrelig,0.63,12358.15234
365,RUS,RUSSIA 1999-2010,1999,2010,0,12,0,0.03948776424,143618,0,0,0,0,0,chrstgen,0.7423,23961.2207
366,EST,ESTONIA 1919-1933,1919,1933,1,15,4,7.41E-04,1123,0,0,0,0,0,NA,NA,NA
366,EST,ESTONIA 1934-1991,1934,1991,0,1,0,2.57E-04,1566,0,0,0,0,0,nonrelig,0.5356,12730.71741
366,EST,ESTONIA 1991-2010,1991,2010,1,20,0,1.67E-04,1299,1,0,1,1,1,nonrelig,0.6903,26015.74635
367,LVA,LATVIA 1920-1933,1920,1933,1,14,1,0.001503790729,1930,0,0,0,0,0,NA,NA,NA
367,LVA,LATVIA 1934-1991,1934,1991,0,1,0,5.04E-04,2662,0,0,0,0,0,NA,NA,9599.146005
367,LVA,LATVIA 1991-1992,1991,1992,0,2,0,3.96E-04,2632,0,0,0,0,0,NA,NA,9599.146005
367,LVA,LATVIA 1993-2010,1993,2010,1,18,0,3.03E-04,2091,1,0,1,1,0,NA,NA,21173.4018
368,LTU,LITHUANIA 1920-1925,1920,1925,1,6,1,0.001464913716,2206,0,0,0,0,0,NA,NA,NA
368,LTU,LITHUANIA 1926-1991,1926,1991,0,1,0,6.68E-04,3742,0,0,0,0,0,NA,NA,10640.36003
368,LTU,LITHUANIA 1991-1992,1991,1992,0,1,0,5.68E-04,3742,0,0,0,0,0,NA,NA,10640.36003
368,LTU,LITHUANIA 1992-2010,1992,2010,1,19,0,4.09E-04,3068,1,0,1,1,0,NA,NA,23942.76036
369,UKR,UKRAINE 1991-2010,1991,2010,1,20,0,0.008814312518,46050,0,0,1,0,0,chrstgen,0.852,12221.44043
370,BLR,BELARUS 1991-1993,1991,1993,1,3,0,0.002689845394,10356,0,0,0,0,0,chrstgen,0.6964,7305.306909
370,BLR,BELARUS 1994-2010,1994,2010,0,17,0,0.00200172863,9491,0,0,0,0,0,chrstgen,0.5684,17300.70368
371,ARM,ARMENIA 1991-2010,1991,2010,0,20,2,6.14E-04,2963,0,0,1,0,0,chrstgen,0.951,9068.787651
372,GEO,GEORGIA 1991-2003,1991,2003,0,13,0,4.70E-04,4565,0,0,1,0,0,NA,NA,6230.821909
372,GEO,GEORGIA 2004-2010,2004,2010,1,7,0,4.52E-04,4389,0,0,1,0,0,NA,NA,9736.732094
373,AZE,AZERBAIJAN 1991-2010,1991,2010,0,20,2,0.001369819511,9095,0,0,0,0,0,islmgen,0.95,14082.23815
375,FIN,FINLAND 1917-2010,1917,2010,1,94,9,0.00169322954,5368,1,0,1,0,1,chrstgen,0.794,45874.6613
380,SWD,SWEDEN 1800-1910,1800,1910,0,111,0,0.007474089507,5499,0,0,0,0,0,NA,NA,NA
380,SWD,SWEDEN 1911-2010,1911,2010,1,100,0,0.002180201933,9382,1,0,1,0,1,chrstgen,0.7606,NA
385,NOR,NORWAY 1900-2010,1900,2010,1,111,1,0.001610821695,4891,0,0,1,1,1,chrstgen,0.8401,61353.47733
390,DNK,DENMARK 1800-1900,1800,1900,0,101,2,0.002475128509,2430,0,0,0,0,0,NA,NA,NA
390,DNK,DENMARK 1901-1939,1901,1939,1,39,0,0.001954271924,3800,0,0,0,0,0,NA,NA,NA
390,DNK,DENMARK 1940-1944,1940,1944,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,DNK,DENMARK 1945-2010,1945,2010,1,66,0,0.001212379429,5551,1,0,1,1,1,NA,NA,50825.41229
395,ISL,ICELAND 1918-2010,1918,2010,1,93,0,3.16E-05,318,0,0,1,1,1,NA,NA,47457.62292
402,CPV,CAPE VERDE 1975-1990,1975,1990,0,16,0,2.04E-05,341,0,0,0,0,0,NA,NA,1620.984219
402,CPV,CAPE VERDE 1991-2010,1991,2010,1,20,0,2.16E-05,488,0,0,1,0,0,NA,NA,5860.498302
403,STP,SAO TOME & PRINCIPE 1976-1990,1976,1990,0,15,0,1.18E-05,115,0,0,0,0,0,chrstgen,0.9565,2558.983482
403,STP,SAO TOME & PRINCIPE 1991-2010,1991,2010,1,20,0,6.97E-06,178,0,0,0,0,0,chrstgen,0.9441,3324.916347
404,GNB,GUINEA-BISSAU 1974-1993,1974,1993,0,20,0,1.59E-04,1026,0,0,0,0,0,anmgen,0.53,1997.076379
404,GNB,GUINEA-BISSAU 1994-1997,1994,1997,1,4,0,1.10E-04,1112,0,0,1,0,0,anmgen,0.5,2324.843826
404,GNB,GUINEA-BISSAU 1998-2010,1998,2010,0,13,0,1.31E-04,1587,0,0,1,0,0,anmgen,0.475,1697.495589
411,GNQ,EQUATORIAL GUINEA 1968-2010,1968,2010,0,43,0,5.27E-05,696,0,0,0,0,0,NA,NA,29944.2618
420,GMB,GAMBIA 1965-1971,1965,1971,0,7,0,2.26E-05,475,0,1,0,0,0,NA,NA,2080.158085
420,GMB,GAMBIA 1972-1993,1972,1993,1,22,0,4.11E-05,1039,0,1,0,0,0,NA,NA,2034.401653
420,GMB,GAMBIA 1994-2010,1994,2010,0,17,0,1.06E-04,1681,0,0,1,0,0,NA,NA,2172.193837
432,MLI,MALI 1960-1991,1960,1991,0,32,0,5.02E-04,9507,0,0,0,0,0,islmgen,0.8783,1464.26279
432,MLI,MALI 1960-1991,1960,1991,0,32,0,5.02E-04,9507,0,0,0,0,0,islmothr,0.8783,1464.26279
432,MLI,MALI 1992-2010,1992,2010,1,19,0,5.97E-04,13986,0,0,1,0,0,islmgen,0.94,2018.601455
433,SEN,SENEGAL 1960-1999,1960,1999,0,40,0,6.32E-04,9240,0,0,1,0,0,islmgen,0.878,2582.120644
433,SEN,SENEGAL 2000-2010,2000,2010,1,11,0,7.24E-04,12951,0,0,1,0,0,islmgen,0.9389,2830.153244
434,BEN,BENIN 1960-1990,1960,1990,0,31,0,3.35E-04,4739,0,1,0,0,0,anmgen,0.5322,2109.559335
434,BEN,BENIN 1991-2010,1991,2010,1,20,0,4.08E-04,9510,0,0,1,0,0,chrstgen,0.4,2634.134728
435,MRT,MAURITANIA 1960-2010,1960,2010,0,51,0,3.02E-04,3609,0,0,1,0,0,NA,NA,4773.752515
436,NER,NIGER 1960-1992,1960,1992,0,33,0,4.14E-04,8264,0,1,0,0,0,NA,NA,1028.655164
436,NER,NIGER 1993-1995,1993,1995,1,3,0,4.28E-04,9151,0,1,0,0,0,NA,NA,977.4825375
436,NER,NIGER 1996-1998,1996,1998,0,3,0,4.53E-04,10078,0,0,1,0,0,NA,NA,987.7097136
436,NER,NIGER 1999-2008,1999,2008,1,10,0,5.11E-04,14738,0,0,1,0,0,NA,NA,997.0244404
436,NER,NIGER 2009-2010,2009,2010,0,2,0,5.29E-04,15894,0,0,1,0,0,NA,NA,1024.738365
437,CIV,COTE D'IVOIRE 1960-2010,1960,2010,0,51,0,0.001192957396,18977,0,0,1,0,0,NA,NA,3673.181282
438,GIN,GUINEA 1958-2010,1958,2010,0,53,0,6.41E-04,10876,0,0,1,0,0,NA,NA,1856.490189
439,BFA,BURKINA FASO 1960-2010,1960,2010,0,51,0,7.25E-04,15540,0,0,1,0,0,NA,NA,1661.872021
450,LBR,LIBERIA 1847-2005,1847,2005,0,159,0,4.11E-04,3270,0,0,0,0,0,chrstgen,0.6843,1232.456857
450,LBR,LIBERIA 2006-2010,2006,2010,1,5,0,2.21E-04,3958,0,0,0,0,0,chrstgen,0.85,1418.675819
451,SLE,SIERRA LEONE 1961-1966,1961,1966,1,6,0,1.89E-04,2470,0,1,0,0,0,NA,NA,1451.254038
451,SLE,SIERRA LEONE 1967-2001,1967,2001,0,35,0,2.75E-04,5054,0,0,1,0,0,NA,NA,935.0386038
451,SLE,SIERRA LEONE 2002-2010,2002,2010,1,9,0,3.20E-04,5752,0,0,1,0,0,NA,NA,1401.574125
452,GHA,GHANA 1957-1969,1957,1969,0,13,0,9.38E-04,8433,0,1,0,0,0,chrstgen,0.4685,2299.638794
452,GHA,GHANA 1970-1971,1970,1971,1,2,0,9.51E-04,8858,0,1,0,0,0,chrstgen,0.5101,2299.638794
452,GHA,GHANA 1972-1978,1972,1978,0,7,0,8.82E-04,10352,0,1,0,0,0,chrstgen,0.519,2299.638794
452,GHA,GHANA 1979-1980,1979,1980,1,2,0,8.44E-04,10808,0,1,0,0,0,chrstgen,0.5366,2299.638794
452,GHA,GHANA 1981-1996,1981,1996,0,16,0,9.80E-04,17832,0,0,1,0,0,chrstgen,0.5854,2568.070424
452,GHA,GHANA 1997-2010,1997,2010,1,14,0,0.001223460771,24263,0,0,1,0,0,chrstgen,0.7034,3709.395761
461,TGO,TOGO 1960-2010,1960,2010,0,51,0,3.31E-04,6306,0,0,1,0,0,NA,NA,1588.398241
471,CMR,CAMEROON 1960-2010,1960,2010,0,51,0,0.001167131937,20624,0,0,1,0,0,NA,NA,3298.624579
475,NGA,NIGERIA 1960-1965,1960,1965,1,6,0,0.004384625703,48676,0,1,0,0,0,NA,NA,3259.581175
475,NGA,NIGERIA 1966-1978,1966,1978,0,13,0,0.006088464055,68121,0,1,0,0,0,NA,NA,3259.581175
475,NGA,NIGERIA 1979-1982,1979,1982,1,4,0,0.00610874407,76214,0,1,0,0,0,NA,NA,3259.581175
475,NGA,NIGERIA 1983-2010,1983,2010,0,28,0,0.008710855618,159708,0,0,1,0,0,NA,NA,4857.266271
481,GAB,GABON 1960-2010,1960,2010,0,51,0,1.89E-04,1556,0,0,1,0,0,chrstgen,0.7472,13682.84753
482,CAF,CENTRAL AFRICAN REP. 1960-1992,1960,1992,0,33,0,2.19E-04,3065,0,1,0,0,0,NA,NA,1049.119415
482,CAF,CENTRAL AFRICAN REP. 1993-2002,1993,2002,1,10,0,1.97E-04,3767,0,0,1,0,0,NA,NA,1042.708645
482,CAF,CENTRAL AFRICAN REP. 2003-2010,2003,2010,0,8,0,2.01E-04,4350,0,0,1,0,0,NA,NA,1130.895708
483,TCD,CHAD 1960-2010,1960,2010,0,51,2,6.17E-04,11721,0,0,1,0,0,NA,NA,1741.053998
484,COG,"CONGO, REP. 1960-1962",1960,1962,1,3,0,1.20E-04,1034,0,0,0,0,0,NA,NA,5007.319245
484,COG,"CONGO, REP. 1963-2010",1963,2010,0,48,0,4.23E-04,4112,0,0,1,0,0,NA,NA,4977.973115
490,ZAR,"CONGO, DEM. REP. 1960-2010",1960,2010,0,51,2,0.004517213907,62191,0,0,1,0,0,NA,NA,NA
500,UGA,UGANDA 1962-1979,1962,1979,0,18,2,7.55E-04,13225,0,1,0,0,0,chrstgen,0.7147,901.6608095
500,UGA,UGANDA 1980-1984,1980,1984,1,5,0,7.48E-04,14439,0,1,0,0,0,chrstgen,0.7548,901.6608095
500,UGA,UGANDA 1985-2010,1985,2010,0,26,0,0.001456212252,33987,0,0,1,0,0,chrstgen,0.833,1878.520918
501,KEN,KENYA 1963-2001,1963,2001,0,39,0,0.001508414629,31121,0,0,1,0,0,chrstgen,0.7939,3325.911902
